Nom	Adresse (ligne 1)	Adresse (ligne 2)	Adresse (ligne 3)	Code postal	Ville	Pays	Autre...	Collections : [Nom]
Payot					Paris			[Aux confins de la science][Bibliothèque historique][Bibliothèque médicale][Bibliothèque science de l'homme][Bibliothèque scientifique][Biographies Payot][Critique Politique][Désir][Essais Payot][Histoire de l'Art][Histoire Payot][la petite bibliothèque][Langages et sociétés][Le regard de l'Histoire][Manuels][Médecine et Sociétés][Payothèque][Roman][Romans Payot][Science de l'homme Payot]
Christian Bourgois éditeur					Paris			[Choix-Essais][Détroits][Festival d'automne][Première Livraison]
Hachette					Paris			[Ars Una. Histoire générale de l'][Chefs-d'oeuvre de l'art][Classiques France][Classiques illustrés Vaubourdoll][En savoir plus][Grands monuments][Guides bleus évasion][Guides Visa][Guides Voir][Hachette littérature][Hachette world guides][La vie quotidienne][Le guide du routard][Les guides bleus][Littérature et sciences humaines][Littérature générale][Pluriel]
Emile Bouillon					Paris			
Hatier					Paris			[Brèves Littérature][Confluences][Connaissance des lettres][Les classiques pour tous][Nations d'Europe][Optiques / Philosophie]
Stock / IMEC					Paris			[Le livre de poche]
Seghers					Paris			[Comprendre Aujourd'hui][Ecrivains d'hier et d'aujourd'hu][Médecine et Histoire][Mémoire vive][Mots][Philosophes de tous les temps][Philosophie][Poésie 50][Poètes d'aujourd'hui][psychologie contemporaine][Savants du monde entier]
Librairie générale française / IMEC					Paris			[Le livre de poche]
François Maspero					Paris			[]["économie et socialisme"][Action poétique][Algorithme][Cahiers libres][Fondations][Petite collection Maspero][Textes à l'appui][Textes à l'appui][Théorie][Théorie II][Théorie III]
Editions Gonthier					Paris			[Médiations]
Siglo veintiuno editores						Mexique		[Coloquios de la fundacion][La creacion literaria][Psicoanalisis][Psicologia y etologia][Psicologia y psicoanalysis][teoria]
Deuxtemps Tierce					Paris			[Littérales]
Sens&Tonka					Paris			[Philo 10/vingt]
Alianza Editorial Mexicana					Mexico	Mexique		[][Biblioteca Iberoamericana]
Editions Rivages					Paris			[Bibliothèques Rivages][Cahiers du sud][Galerie][Littérature étrangère][Noir][Petite Bibliothèque Rivages][Psychanalyse][Rivages Thriller]
Armand Colin					Paris			["U"][CAC][Centre international de synthèse][Cursus][Philosophies pour l'âge de la sc][Revue de métaphysique et de mora][Sciences politiques][Synthèse][Théories][U 2][U prisme]
L'Harmattan					Paris			["Sémantiques"][Comprendre le Moyen-Orient][Ecriture et Transmission][Ecritures arabes][Etudes psychanalytiques][Généalogies de la psychologie][La philosophie en commun][Littératures][Nouvelles études anthropologique][Ouverture Philosophique][Psychanalyse et civilisations][Santé, sociétés et cultures][Trouvailles et Retrouvailles]
Les Belles Lettres					Paris			[Architecture du verbe][Bibliothèque de la Faculté de Ph][Bilingue][Collection d'études anciennes][Confluents][Confluents psychanalytiques][Encre marine][Etudes Anciennes][Figures du savoir][Histoire][L'âne d'Or][L'idiot international][La revue de l'Inde][La roue à livres][Le corps éloquent][Les classiques de l'Histoire de ][Les classiques de l'Humanisme][Les Textes français][Les trésor de la nouvelle de la ][Les universités de France][Signets]
Républications Paulet					Paris			
Meridiens Klincksieck					Paris			[Semiotique]
Grasset					Paris			[Biblio][Biographie][Figures][Les Cahiers Rouges][Les langues modernes / bilingue][Littéraire][Partage du savoir][Récit][Théoriciens]
Lysimaque					Paris			[Dialectique de la Psychanalyse][Histoire et concepts][Intension et extension de la psy]
Albert Skira					Genève	Suisse		[Le Goût de notre temps][Les sentiers de la création]
Union Générale d'Editions					Paris			[10/18][Les maîtres de l'étrange et de l]
University of  California Press					Berkeley	USA		
Cuadernos de Nombres					Cordoba	Argentine		
La Table Ronde					Paris			[Contretemps][Folio][La petite Vermillon][Les Chemins de la Sagesse]
Editions de l'aube					Tour d'Aigues	France		[Intervention][Monde en cours]
Eugène Fasquelle 					Paris			
Les Editions de Minuit					Paris			[Arguments][Autrement dites][Cahiers de Royaumont][Critique][Double][le sens commun][Paradoxe][Propositions][Reprise]
Editions Domat Montchrestien					Paris			
Editions de la maison des sciences de l'Homme de Paris					Paris			[Ethnologie de la France]
Presses Universitaires de Rennes					Rennes			[Cliniques psychologiques][Histoire]
L'Unebévue Editeur					Paris			[Cahiers de l'Unebévue]
Editions Montaigne								[Aubier][Philosophie de l'Esprit]
l'Âge d'Homme					Lausanne	Suisse		[Amers][Cistre Essai][Germanica][Le Bruit du Temps][Poche Suisse][Sphinx]
Horlieu					Lyon			
Odile Jacob					Paris			[Le champ médiologique][Opus][Poches][Psychologie][Sciences]
Fata Morgana						France		
Bossange, Père et Fils					Paris			
Atelier Alpha Bleue					Paris			
L'Ecole					Paris			
Hermann					Paris			[Actualités scientifiques et indu][Histoire de la pensée][L'esprit et la main][Psychanalyse][Savoir][Société et Pensées]
Librairie Vuibert					Paris			
Association Laplace-Gauss					Paris			
Editions Sociales					Paris			["Problèmes"][Essentiel][Les Classiques du Peuple][Oeuvres Complètes de Friedrich E][Terrains]
Jacqueline Chambon					Nîmes			[Rayon Philo]
L'éclat					Combas	France		[Patio Psychanalyse][philosophie imaginaire][Polemos][Tiré à Part]
Agone					Marseille			[Banc d'essais]
Mille et une nuits								[Essai][Les petits libres][Texte intégral]
Desjonquères					Paris			[Collection XVIIIe siècle][La mesure des choses]
Galien					Paris			
Jérôme Millon					Grenoble			[Atopia][Horos][Horos][Krisis][Mémoires du corps]
The Open Court Publishing company					La Salle	USA		
Climats					Castelnau-le-lez			[Micro-Climats]
Maloine-Doin					Paris			[Recherches interdisciplinaires]
Folio					Paris			[Essais]
CNRS éditions					Paris			[][][Conférences du Théâtre des Natio][Empreintes de l'homme][Etudes de paléographie hébraïque]
Le Robert					Paris			[L'Ordre des mots]
La découverte					Paris			[Armillaire][Documents][L'espace de l'histoire][Mouvements][Points][Sciences et société][Textes à l'appui]
Duculot					Paris			
Presses Universitaires de Lille					Lille			[Apparat Critique][Les cahiers de philologie]
Aubier					Paris			[Alto][Analyse et Raisons][Bibliothèque de Philologie Germa][Bibliothèque philosophique][Bibliothèque philosophique bilin][Bilingue][Bilingue des classiques étranger][Domaine Allemand Bilingue][Domaine anglais][Domaine anglais bilingue][Domaine Hispanique, bilingue][Historique][Homme de théâtre][L'Entendement Humain][La psychanalyse prise au mot][Les grands opéras][Les religions][Palimpseste][Philosophie][Philosophie de l'esprit][Présence et pensée][Psychanalyse][Recherches économiques et social]
L'Artisan du livre					Paris			[femmes pythagoriciennes]
Gedisa editorial					Barcelone 	Espagne		[][coleccion limites de la cienca][Psicoteca Mayor]
Marabout					Verviers	Belgique		[Album Marabout Scope][Bibliothèque marabout][Bibliothèque Marabout / géant][Marabout université][Psychologie]
Belin					Paris			["Le français retrouvé"][L'Antiquité au présent][Les aventures d'Anselme Lanturlu][Les Génies de la science][Nouveaux Mondes][Socio-histoires]
Bibliothèque publique d'information Georges Pompidou					Paris			[Etudes et recherche]
Alinea					Aix-en-Provence			[De la pensée]
Editions Universitaires					Paris			[Collection "je"][Emergences][Encyclopédie universitaire][Les enjeux de l'inconscient][Philosophie européenne][Psychothèque]
Bordas					Paris			[Encyclopédie][Histoire universelle 11][Philosophie présente][Pour connaître]
Le Serpent à Plumes					Paris			[Désordres][Motifs]
Les arènes					Paris			
Aubier / Flammarion					Paris			[Bilingue][La philosophie en effet][Oeuvres de William Blake][Palimpseste]
Presses Universitaire de Strasbourg					Strasbourg			[Cahiers du Séminaire de Philosop]
Editions de la braconnière-Neuchâtel					Neuchâtel	Suisse		[Langages, Documents]
Garnier Flammarion					Paris			[Etonnants Classiques][La littérature anglo-saxonne][Oeuvres de la littérature latine][Texte Intégral]
Delachaux et Niestlé					Paris			[Actualités pédagogiques et psych][Cahiers Théologiques][Cahiers théologiques de l'actual][Champs psychanalytiques][Civilisation et christiannisme]
Editions de la Maisnie					Paris			[Guy Trédaniel][Speculum Dei]
Transaction Publishers						USA		
Le Monde Editions					Paris			[Le Monde du Jazz]
Robert Laffont					Paris			[Biographies sans masque][Bouquins][Elle était une fois][Laffont Histoire][Le cycle Sherlock Holmes][Les énigmes de l'univers][Les grands défis de l'esprit][Libertés 2000][Pavillons][Pluriel][Récit][Réponses][Totem][Vécu]
Ellipses					Paris			[L'humain et l'inhumain][Philo][Philo-philosophes]
Chronicle books					San Fransisco	USA		
La fabrique éditions					Paris			
Oxford University Press						USA		[Ideologies of desire][The World's Classics]
Librairie Felix Alcan					Paris			[Bibliothèque de philosophie cont][Bibliothèque de philosophie cont][Bibliothèque scientifique intern][Les Grands Philosophes][Nouvelle collection scientifique][Nouvelle encyclopédie philosophi]
Presses de l'Ecole Normale Supérieure					Paris			
Editions EHESS					Paris			
Revue du Palais de la Découverte					Paris			
